copyright	zengfr	site:http://github.com/zengfr/romhack
000003	[66]
0D8830	[202]
0D8832	[FF0]
0D8834	[202]
0D8836	[12]
0D8838	[7]
0D883A	[8002]
0D883C	[C9]
0D883E	[1152]
0D8840	[2]
0D8842	[1150]
0D8844	[102]
0D8846	[1160]
0D8848	[1202]
0D884A	[1180]
0D884C	[102]
0D884E	[1190]
0D8850	[202]
0D8852	[1182]
0D8854	[2]
0D8856	[11A0]
0D8858	[202]
0D885A	[10]
0D885C	[7]
0D885E	[8002]
0D8860	[CA]
0D8862	[1153]
0D8864	[102]
0D8866	[1138]
0D8868	[2]
0D886A	[1147]
0D886C	[102]
0D886E	[1137]
0D8870	[2]
0D8872	[1121]
0D8874	[202]
0D8876	[1131]
0D8878	[202]
0D887A	[1140]
0D887C	[302]
0D887E	[12]
0D8880	[7]
0D8882	[8002]
0D8884	[CB]
0D8886	[1157]
0D8888	[2]
0D888A	[1166]
0D888C	[102]
0D888E	[115D]
0D8890	[2]
0D8892	[1158]
0D8894	[1102]
0D8896	[1121]
0D8898	[202]
0D889A	[1131]
0D889C	[202]
0D889E	[1140]
0D88A0	[302]
0D89CA	[9]
0D89CC	[3]
0D89CE	[8002]
0D89D0	[D3]
0D89D2	[F09]
0D89D4	[202]
0D89D6	[F19]
0D89D8	[202]
0D89DA	[F29]
0D89DC	[202]
0D89DE	[8]
0D89E0	[5]
0D89E2	[8002]
0D89E4	[D4]
0D89E6	[EBB]
0D89E8	[2]
0D89EA	[EF8]
0D89EC	[2]
0D89EE	[EBF]
0D89F0	[2]
0D89F2	[1199]
0D89F4	[2]
0D89F6	[1179]
0D89F8	[1102]
0D8A4E	[E]
0D8A50	[2]
0D8A52	[8002]
0D8A54	[D8]
0D8A56	[DEF]
0D8A58	[1002]
0D8A5A	[1193]
0D8A5C	[1502]
0D8EA6	[B]
0D8EA8	[4]
0D8EAA	[8002]
0D8EAC	[F1]
0D8EAE	[1300]
0D8EB0	[202]
0D8EB2	[1310]
0D8EB4	[302]
0D8EB6	[1321]
0D8EB8	[202]
0D8EBA	[1320]
0D8EBC	[2]
0D8EBE	[D]
0D8EC0	[4]
0D8EC2	[8002]
0D8EC4	[F2]
0D8EC6	[12CC]
0D8EC8	[202]
0D8ECA	[12DB]
0D8ECC	[302]
0D8ECE	[12EB]
0D8ED0	[302]
0D8ED2	[12FD]
0D8ED4	[102]
0D8ED6	[D]
0D8ED8	[7]
0D8EDA	[8002]
0D8EDC	[F3]
0D8EDE	[1305]
0D8EE0	[202]
0D8EE2	[1315]
0D8EE4	[202]
0D8EE6	[1314]
0D8EE8	[2]
0D8EEA	[1303]
0D8EEC	[102]
0D8EEE	[1324]
0D8EF0	[2]
0D8EF2	[1325]
0D8EF4	[102]
0D8EF6	[1327]
0D8EF8	[2]
0D8EFA	[A]
0D8EFC	[5]
0D8EFE	[8002]
0D8F00	[F4]
0D8F02	[1330]
0D8F04	[2]
0D8F06	[1331]
0D8F08	[102]
0D8F0A	[1340]
0D8F0C	[202]
0D8F0E	[1351]
0D8F10	[102]
0D8F12	[1361]
0D8F14	[102]
0D8F16	[A]
0D8F18	[4]
0D8F1A	[8002]
0D8F1C	[F5]
0D8F1E	[1308]
0D8F20	[302]
0D8F22	[1318]
0D8F24	[202]
0D8F26	[1328]
0D8F28	[102]
0D8F2A	[132A]
0D8F2C	[2]
0D8F2E	[B]
0D8F30	[7]
0D8F32	[8002]
0D8F34	[F6]
0D8F36	[130E]
0D8F38	[102]
0D8F3A	[131E]
0D8F3C	[102]
0D8F3E	[1350]
0D8F40	[2]
0D8F42	[1333]
0D8F44	[102]
0D8F46	[1360]
0D8F48	[2]
0D8F4A	[132E]
0D8F4C	[102]
0D8F4E	[132D]
0D8F50	[2]
0D8F52	[E]
0D8F54	[7]
0D8F56	[8002]
0D8F58	[F7]
0D8F5A	[12CC]
0D8F5C	[202]
0D8F5E	[130C]
0D8F60	[102]
0D8F62	[12DE]
0D8F64	[2]
0D8F66	[12EE]
0D8F68	[2]
0D8F6A	[131B]
0D8F6C	[202]
0D8F6E	[132B]
0D8F70	[102]
0D8F72	[12FD]
0D8F74	[102]
0D8F76	[11]
0D8F78	[A]
0D8F7A	[8002]
0D8F7C	[F8]
0D8F7E	[12CF]
0D8F80	[2]
0D8F82	[12FB]
0D8F84	[102]
0D8F86	[12DF]
0D8F88	[1002]
0D8F8A	[12DA]
0D8F8C	[1002]
0D8F8E	[12EE]
0D8F90	[2]
0D8F92	[12FF]
0D8F94	[2]
0D8F96	[12FA]
0D8F98	[2]
0D8F9A	[FE7]
0D8F9C	[102]
0D8F9E	[FF6]
0D8FA0	[202]
0D8FA2	[12FD]
0D8FA4	[102]
0DA2B4	[1E]
0DA2B6	[4]
0DA2B8	[8009]
0DA2BA	[10C]
0DA2BC	[5112]
0DA2BE	[2009]
0DA2C0	[5100]
0DA2C2	[3109]
0DA2C4	[50CC]
0DA2C6	[3309]
0DA2C8	[50DB]
0DA2CA	[2009]
0DA2CC	[6]
0DA2CE	[3]
0DA2D0	[8009]
0DA2D2	[10D]
0DA2D4	[50CB]
0DA2D6	[9]
0DA2D8	[5102]
0DA2DA	[9]
0DA2DC	[5103]
0DA2DE	[1109]
0DA2E0	[F]
0DA2E2	[4]
0DA2E4	[8009]
0DA2E6	[10E]
0DA2E8	[5115]
0DA2EA	[9]
0DA2EC	[5116]
0DA2EE	[9]
0DA2F0	[5105]
0DA2F2	[9]
0DA2F4	[5123]
0DA2F6	[2309]
0DA2F8	[14]
0DA2FA	[4]
0DA2FC	[8009]
0DA2FE	[10F]
0DA300	[5140]
0DA302	[9]
0DA304	[5141]
0DA306	[109]
0DA308	[5150]
0DA30A	[1009]
0DA30C	[5151]
0DA30E	[2409]
0DA310	[1E]
0DA312	[4]
0DA314	[8009]
0DA316	[110]
0DA318	[510E]
0DA31A	[109]
0DA31C	[5106]
0DA31E	[9]
0DA320	[5138]
0DA322	[509]
0DA324	[5107]
0DA326	[2609]
0DA328	[23]
0DA32A	[5]
0DA32C	[8009]
0DA32E	[111]
0DA330	[518F]
0DA332	[9]
0DA334	[511E]
0DA336	[2109]
0DA338	[515F]
0DA33A	[2009]
0DA33C	[514B]
0DA33E	[409]
0DA340	[515A]
0DA342	[3409]
0DA344	[28]
0DA346	[1]
0DA348	[8009]
0DA34A	[FF]
0DA34C	[51B0]
0DA34E	[4709]
0DA350	[28]
0DA352	[1]
0DA354	[8009]
0DA356	[FF]
0DA358	[51B8]
0DA35A	[4709]
0DA35C	[24]
0DA35E	[7]
0DA360	[8009]
0DA362	[112]
0DA364	[5197]
0DA366	[9]
0DA368	[514A]
0DA36A	[9]
0DA36C	[5137]
0DA36E	[9]
0DA370	[5209]
0DA372	[9]
0DA374	[5200]
0DA376	[709]
0DA378	[5198]
0DA37A	[1709]
0DA37C	[51A0]
0DA37E	[709]
0DA380	[20]
0DA382	[9]
0DA384	[8009]
0DA386	[113]
0DA388	[5183]
0DA38A	[1009]
0DA38C	[5182]
0DA38E	[1009]
0DA390	[5156]
0DA392	[3009]
0DA394	[5149]
0DA396	[4009]
0DA398	[5181]
0DA39A	[1009]
0DA39C	[5147]
0DA39E	[4109]
0DA3A0	[5170]
0DA3A2	[2009]
0DA3A4	[5185]
0DA3A6	[1009]
0DA3A8	[5184]
0DA3AA	[1009]
0DF3F8	[16]
0DF3FA	[7]
0DF3FC	[8015]
0DF3FE	[802]
0DF400	[2FF6]
0DF402	[115]
0DF404	[2FCA]
0DF406	[1315]
0DF408	[2FED]
0DF40A	[215]
0DF40C	[3000]
0DF40E	[15]
0DF410	[2FFD]
0DF412	[215]
0DF414	[3001]
0DF416	[215]
0DF418	[2FDE]
0DF41A	[115]
0DF41C	[13]
0DF41E	[5]
0DF420	[8015]
0DF422	[803]
0DF424	[2FF6]
0DF426	[115]
0DF428	[2FCA]
0DF42A	[1315]
0DF42C	[3004]
0DF42E	[115]
0DF430	[3010]
0DF432	[215]
0DF434	[3020]
0DF436	[315]
0DF438	[10]
0DF43A	[5]
0DF43C	[8015]
0DF43E	[804]
0DF440	[2FF6]
0DF442	[115]
0DF444	[2FCA]
0DF446	[1315]
0DF448	[3030]
0DF44A	[115]
0DF44C	[3040]
0DF44E	[115]
0DF450	[3013]
0DF452	[115]
0DF454	[10]
0DF456	[5]
0DF458	[8015]
0DF45A	[805]
0DF45C	[2FF6]
0DF45E	[115]
0DF460	[2FCA]
0DF462	[1315]
0DF464	[3006]
0DF466	[115]
0DF468	[3032]
0DF46A	[115]
0DF46C	[3042]
0DF46E	[115]
0DF470	[12]
0DF472	[5]
0DF474	[8015]
0DF476	[806]
0DF478	[2FF6]
0DF47A	[115]
0DF47C	[2FCA]
0DF47E	[1315]
0DF480	[3015]
0DF482	[115]
0DF484	[3024]
0DF486	[215]
0DF488	[3034]
0DF48A	[215]
0DF634	[12]
0DF636	[5]
0DF638	[8015]
0DF63A	[814]
0DF63C	[304F]
0DF63E	[1015]
0DF640	[30A0]
0DF642	[2115]
0DF644	[30A2]
0DF646	[215]
0DF648	[30A5]
0DF64A	[215]
0DF64C	[308C]
0DF64E	[315]
0DF6D4	[15]
0DF6D6	[8]
0DF6D8	[8015]
0DF6DA	[816]
0DF6DC	[309A]
0DF6DE	[115]
0DF6E0	[309C]
0DF6E2	[15]
0DF6E4	[30F0]
0DF6E6	[15]
0DF6E8	[30F1]
0DF6EA	[15]
0DF6EC	[30D0]
0DF6EE	[1215]
0DF6F0	[30A2]
0DF6F2	[215]
0DF6F4	[30A5]
0DF6F6	[215]
0DF6F8	[308C]
0DF6FA	[315]
0DF728	[13]
0DF72A	[6]
0DF72C	[8015]
0DF72E	[818]
0DF730	[309A]
0DF732	[115]
0DF734	[309C]
0DF736	[15]
0DF738	[30C3]
0DF73A	[1215]
0DF73C	[30A2]
0DF73E	[215]
0DF740	[30A5]
0DF742	[215]
0DF744	[308C]
0DF746	[315]
0DF748	[16]
0DF74A	[6]
0DF74C	[8015]
0DF74E	[819]
0DF750	[30BE]
0DF752	[115]
0DF754	[30CA]
0DF756	[115]
0DF758	[30C6]
0DF75A	[1315]
0DF75C	[30A2]
0DF75E	[215]
0DF760	[30A5]
0DF762	[215]
0DF764	[308C]
0DF766	[315]
0DF8E4	[D]
0DF8E6	[8]
0DF8E8	[8015]
0DF8EA	[1D1]
0DF8EC	[313A]
0DF8EE	[115]
0DF8F0	[313C]
0DF8F2	[15]
0DF8F4	[310D]
0DF8F6	[115]
0DF8F8	[3129]
0DF8FA	[15]
0DF8FC	[311D]
0DF8FE	[115]
0DF900	[312D]
0DF902	[115]
0DF904	[314B]
0DF906	[15]
0DF908	[3147]
0DF90A	[115]
0DF90C	[E]
0DF90E	[5]
0DF910	[8015]
0DF912	[1D2]
0DF914	[3150]
0DF916	[115]
0DF918	[313D]
0DF91A	[1215]
0DF91C	[315E]
0DF91E	[115]
0DF920	[316E]
0DF922	[115]
0DF924	[317E]
0DF926	[115]
0DF998	[F]
0DF99A	[5]
0DF99C	[8015]
0DF99E	[888]
0DF9A0	[314C]
0DF9A2	[15]
0DF9A4	[315A]
0DF9A6	[2115]
0DF9A8	[315C]
0DF9AA	[115]
0DF9AC	[3186]
0DF9AE	[215]
0DF9B0	[3196]
0DF9B2	[215]
0DFAE4	[12]
0DFAE6	[6]
0DFAE8	[8015]
0DFAEA	[88B]
0DFAEC	[317C]
0DFAEE	[2115]
0DFAF0	[31AA]
0DFAF2	[1215]
0DFAF4	[318E]
0DFAF6	[115]
0DFAF8	[319E]
0DFAFA	[115]
0DFAFC	[3199]
0DFAFE	[15]
0DFB00	[316D]
0DFB02	[15]
0DFB04	[C]
0DFB06	[2]
0DFB08	[8015]
0DFB0A	[88C]
0DFB0C	[31C3]
0DFB0E	[415]
0DFB10	[31D0]
0DFB12	[615]
0DFB14	[D]
0DFB16	[6]
0DFB18	[8015]
0DFB1A	[88D]
0DFB1C	[31E4]
0DFB1E	[15]
0DFB20	[31E0]
0DFB22	[315]
0DFB24	[31D7]
0DFB26	[15]
0DFB28	[31F4]
0DFB2A	[15]
0DFB2C	[31E5]
0DFB2E	[115]
0DFB30	[31F0]
0DFB32	[315]
0DFBB4	[15]
0DFBB6	[A]
0DFBB8	[8016]
0DFBBA	[825]
0DFBBC	[31DF]
0DFBBE	[16]
0DFBC0	[31EE]
0DFBC2	[116]
0DFBC4	[2FCD]
0DFBC6	[16]
0DFBC8	[2FCA]
0DFBCA	[16]
0DFBCC	[2FDA]
0DFBCE	[316]
0DFBD0	[2FED]
0DFBD2	[216]
0DFBD4	[3000]
0DFBD6	[16]
0DFBD8	[2FFD]
0DFBDA	[216]
0DFBDC	[3001]
0DFBDE	[216]
0DFBE0	[2FDE]
0DFBE2	[116]
0DFBE4	[12]
0DFBE6	[8]
0DFBE8	[8016]
0DFBEA	[826]
0DFBEC	[31DF]
0DFBEE	[16]
0DFBF0	[31EE]
0DFBF2	[116]
0DFBF4	[2FCD]
0DFBF6	[16]
0DFBF8	[2FCA]
0DFBFA	[16]
0DFBFC	[2FDA]
0DFBFE	[316]
0DFC00	[3004]
0DFC02	[116]
0DFC04	[3010]
0DFC06	[216]
0DFC08	[3020]
0DFC0A	[316]
0DFC0C	[F]
0DFC0E	[8]
0DFC10	[8016]
0DFC12	[827]
0DFC14	[2FDA]
0DFC16	[316]
0DFC18	[2FCD]
0DFC1A	[16]
0DFC1C	[2FCA]
0DFC1E	[16]
0DFC20	[31EE]
0DFC22	[116]
0DFC24	[31DF]
0DFC26	[16]
0DFC28	[3030]
0DFC2A	[116]
0DFC2C	[3040]
0DFC2E	[116]
0DFC30	[3013]
0DFC32	[116]
0DFC34	[F]
0DFC36	[8]
0DFC38	[8016]
0DFC3A	[828]
0DFC3C	[31DF]
0DFC3E	[16]
0DFC40	[31EE]
0DFC42	[116]
0DFC44	[2FCD]
0DFC46	[16]
0DFC48	[2FCA]
0DFC4A	[16]
0DFC4C	[2FDA]
0DFC4E	[316]
0DFC50	[3006]
0DFC52	[116]
0DFC54	[3032]
0DFC56	[116]
0DFC58	[3042]
0DFC5A	[116]
0DFC5C	[11]
0DFC5E	[8]
0DFC60	[8016]
0DFC62	[829]
0DFC64	[2FDA]
0DFC66	[316]
0DFC68	[2FCD]
0DFC6A	[16]
0DFC6C	[2FCA]
0DFC6E	[16]
0DFC70	[31EE]
0DFC72	[116]
0DFC74	[31DF]
0DFC76	[16]
0DFC78	[3015]
0DFC7A	[116]
0DFC7C	[3024]
0DFC7E	[216]
0DFC80	[3034]
0DFC82	[216]
0E01AC	[D]
0E01AE	[7]
0E01B0	[8016]
0E01B2	[1DC]
0E01B4	[310E]
0E01B6	[16]
0E01B8	[320B]
0E01BA	[1116]
0E01BC	[3129]
0E01BE	[16]
0E01C0	[311D]
0E01C2	[116]
0E01C4	[312D]
0E01C6	[116]
0E01C8	[314B]
0E01CA	[16]
0E01CC	[3147]
0E01CE	[116]
0E0298	[F]
0E029A	[8]
0E029C	[8016]
0E029E	[890]
0E02A0	[322F]
0E02A2	[16]
0E02A4	[323C]
0E02A6	[116]
0E02A8	[316A]
0E02AA	[16]
0E02AC	[317A]
0E02AE	[116]
0E02B0	[314C]
0E02B2	[16]
0E02B4	[315C]
0E02B6	[116]
0E02B8	[3186]
0E02BA	[216]
0E02BC	[3196]
0E02BE	[216]
0E02E4	[12]
0E02E6	[9]
0E02E8	[8016]
0E02EA	[892]
0E02EC	[3253]
0E02EE	[16]
0E02F0	[3242]
0E02F2	[116]
0E02F4	[318C]
0E02F6	[16]
0E02F8	[319C]
0E02FA	[116]
0E02FC	[31AA]
0E02FE	[1216]
0E0300	[318E]
0E0302	[116]
0E0304	[319E]
0E0306	[116]
0E0308	[3199]
0E030A	[16]
0E030C	[316D]
0E030E	[16]
0E034C	[D]
0E034E	[7]
0E0350	[8016]
0E0352	[1E0]
0E0354	[3263]
0E0356	[16]
0E0358	[3270]
0E035A	[116]
0E035C	[31D9]
0E035E	[16]
0E0360	[31CB]
0E0362	[1116]
0E0364	[31CF]
0E0366	[16]
0E0368	[31CD]
0E036A	[116]
0E036C	[31DD]
0E036E	[116]
0E0370	[D]
0E0372	[8]
0E0374	[8016]
0E0376	[187]
0E0378	[31D9]
0E037A	[16]
0E037C	[3263]
0E037E	[16]
0E0380	[3270]
0E0382	[116]
0E0384	[31AD]
0E0386	[216]
0E0388	[31BD]
0E038A	[216]
0E038C	[31C8]
0E038E	[16]
0E0390	[31F5]
0E0392	[16]
0E0394	[31D8]
0E0396	[16]
0E0398	[F]
0E039A	[5]
0E039C	[8016]
0E039E	[1E1]
0E03A0	[3270]
0E03A2	[116]
0E03A4	[3263]
0E03A6	[16]
0E03A8	[31D9]
0E03AA	[16]
0E03AC	[31F6]
0E03AE	[516]
0E03B0	[31E7]
0E03B2	[416]
0E03B4	[20]
0E03B6	[5]
0E03B8	[801E]
0E03BA	[25B]
0E03BC	[3281]
0E03BE	[21F]
0E03C0	[3290]
0E03C2	[241E]
0E03C4	[32C0]
0E03C6	[31E]
0E03C8	[32D0]
0E03CA	[41E]
0E03CC	[32E0]
0E03CE	[41E]
0E03D0	[1D]
0E03D2	[8]
0E03D4	[801E]
0E03D6	[25C]
0E03D8	[3281]
0E03DA	[21F]
0E03DC	[3290]
0E03DE	[141E]
0E03E0	[32B4]
0E03E2	[1E]
0E03E4	[32B0]
0E03E6	[1E]
0E03E8	[3244]
0E03EA	[21E]
0E03EC	[3254]
0E03EE	[21E]
0E03F0	[3264]
0E03F2	[31E]
0E03F4	[3274]
0E03F6	[31E]
0E03F8	[1A]
0E03FA	[8]
0E03FC	[801E]
0E03FE	[25D]
0E0400	[3281]
0E0402	[21F]
0E0404	[3290]
0E0406	[141E]
0E0408	[32B4]
0E040A	[1E]
0E040C	[32B0]
0E040E	[1E]
0E0410	[3247]
0E0412	[21E]
0E0414	[3257]
0E0416	[21E]
0E0418	[3268]
0E041A	[11E]
0E041C	[3278]
0E041E	[21E]
0E0420	[1A]
0E0422	[8]
0E0424	[801E]
0E0426	[25E]
0E0428	[3281]
0E042A	[21F]
0E042C	[3290]
0E042E	[141E]
0E0430	[32B4]
0E0432	[1E]
0E0434	[32B0]
0E0436	[1E]
0E0438	[324A]
0E043A	[21E]
0E043C	[327B]
0E043E	[11E]
0E0440	[325A]
0E0442	[21E]
0E0444	[326A]
0E0446	[21E]
0E0448	[1A]
0E044A	[8]
0E044C	[801E]
0E044E	[25F]
0E0450	[3281]
0E0452	[21F]
0E0454	[3290]
0E0456	[141E]
0E0458	[32B4]
0E045A	[1E]
0E045C	[32B0]
0E045E	[1E]
0E0460	[328D]
0E0462	[21E]
0E0464	[329D]
0E0466	[21E]
0E0468	[32AD]
0E046A	[21E]
0E046C	[32BE]
0E046E	[11E]
0E0470	[1B]
0E0472	[8]
0E0474	[801E]
0E0476	[260]
0E0478	[3281]
0E047A	[21F]
0E047C	[3290]
0E047E	[141E]
0E0480	[32B4]
0E0482	[1E]
0E0484	[32B0]
0E0486	[1E]
0E0488	[324D]
0E048A	[21E]
0E048C	[325D]
0E048E	[21E]
0E0490	[326D]
0E0492	[21E]
0E0494	[327D]
0E0496	[21E]
0E0970	[22]
0E0972	[C]
0E0974	[801E]
0E0976	[85F]
0E0978	[3391]
0E097A	[1E]
0E097C	[5271]
0E097E	[1005]
0E0980	[3281]
0E0982	[21F]
0E0984	[33A0]
0E0986	[111E]
0E0988	[3352]
0E098A	[1E]
0E098C	[3292]
0E098E	[1E]
0E0990	[3290]
0E0992	[211E]
0E0994	[3284]
0E0996	[11E]
0E0998	[32C3]
0E099A	[1E]
0E099C	[32C0]
0E099E	[21E]
0E09A0	[32D0]
0E09A2	[41E]
0E09A4	[32E0]
0E09A6	[41E]
0E1838	[C]
0E183A	[3]
0E183C	[8017]
0E183E	[291]
0E1840	[3480]
0E1842	[1217]
0E1844	[34A0]
0E1846	[217]
0E1848	[34B0]
0E184A	[217]
0E184C	[D]
0E184E	[6]
0E1850	[8017]
0E1852	[292]
0E1854	[3590]
0E1856	[217]
0E1858	[3481]
0E185A	[117]
0E185C	[378D]
0E185E	[17]
0E1860	[35A0]
0E1862	[217]
0E1864	[3520]
0E1866	[17]
0E1868	[35B0]
0E186A	[217]
0E186C	[D]
0E186E	[9]
0E1870	[8017]
0E1872	[293]
0E1874	[3590]
0E1876	[117]
0E1878	[3481]
0E187A	[117]
0E187C	[378D]
0E187E	[17]
0E1880	[378A]
0E1882	[17]
0E1884	[3594]
0E1886	[17]
0E1888	[3593]
0E188A	[17]
0E188C	[35C0]
0E188E	[17]
0E1890	[35A3]
0E1892	[117]
0E1894	[35B3]
0E1896	[117]
0E1898	[D]
0E189A	[8]
0E189C	[8017]
0E189E	[294]
0E18A0	[3590]
0E18A2	[117]
0E18A4	[3481]
0E18A6	[117]
0E18A8	[378D]
0E18AA	[17]
0E18AC	[378C]
0E18AE	[17]
0E18B0	[378B]
0E18B2	[17]
0E18B4	[3595]
0E18B6	[117]
0E18B8	[35A5]
0E18BA	[117]
0E18BC	[35B5]
0E18BE	[117]
0E18C0	[F]
0E18C2	[B]
0E18C4	[8017]
0E18C6	[56D]
0E18C8	[35F5]
0E18CA	[17]
0E18CC	[3590]
0E18CE	[117]
0E18D0	[3481]
0E18D2	[117]
0E18D4	[378D]
0E18D6	[17]
0E18D8	[378A]
0E18DA	[17]
0E18DC	[35C1]
0E18DE	[17]
0E18E0	[3593]
0E18E2	[17]
0E18E4	[35C0]
0E18E6	[17]
0E18E8	[35D0]
0E18EA	[117]
0E18EC	[35E0]
0E18EE	[117]
0E18F0	[35F0]
0E18F2	[17]
0E1984	[C]
0E1986	[7]
0E1988	[8017]
0E198A	[295]
0E198C	[3556]
0E198E	[117]
0E1990	[34CB]
0E1992	[17]
0E1994	[34E0]
0E1996	[17]
0E1998	[3566]
0E199A	[117]
0E199C	[34DB]
0E199E	[17]
0E19A0	[34F0]
0E19A2	[17]
0E19A4	[35F8]
0E19A6	[317]
0E19E4	[C]
0E19E6	[7]
0E19E8	[8017]
0E19EA	[297]
0E19EC	[3483]
0E19EE	[1037]
0E19F0	[3483]
0E19F2	[1117]
0E19F4	[34A3]
0E19F6	[37]
0E19F8	[34A3]
0E19FA	[117]
0E19FC	[34B3]
0E19FE	[37]
0E1A00	[34B4]
0E1A02	[17]
0E1A04	[34B3]
0E1A06	[17]
0E1A08	[C]
0E1A0A	[4]
0E1A0C	[8017]
0E1A0E	[298]
0E1A10	[3483]
0E1A12	[1037]
0E1A14	[3483]
0E1A16	[1117]
0E1A18	[34A5]
0E1A1A	[217]
0E1A1C	[34B5]
0E1A1E	[217]
0E1A20	[C]
0E1A22	[4]
0E1A24	[8017]
0E1A26	[298]
0E1A28	[3483]
0E1A2A	[1037]
0E1A2C	[3483]
0E1A2E	[1117]
0E1A30	[34A5]
0E1A32	[237]
0E1A34	[34B5]
0E1A36	[237]
0E1B14	[D]
0E1B16	[3]
0E1B18	[8017]
0E1B1A	[296]
0E1B1C	[35D8]
0E1B1E	[317]
0E1B20	[35E8]
0E1B22	[417]
0E1B24	[35F8]
0E1B26	[317]
0E1B28	[B]
0E1B2A	[3]
0E1B2C	[8017]
0E1B2E	[29F]
0E1B30	[3500]
0E1B32	[317]
0E1B34	[3510]
0E1B36	[317]
0E1B38	[3521]
0E1B3A	[217]
0E1B3C	[C]
0E1B3E	[3]
0E1B40	[8017]
0E1B42	[2A0]
0E1B44	[3504]
0E1B46	[317]
0E1B48	[3514]
0E1B4A	[317]
0E1B4C	[3524]
0E1B4E	[317]
0E1B50	[B]
0E1B52	[3]
0E1B54	[8017]
0E1B56	[2A0]
0E1B58	[3521]
0E1B5A	[277]
0E1B5C	[3510]
0E1B5E	[377]
0E1B60	[3500]
0E1B62	[377]
0E1B64	[C]
0E1B66	[3]
0E1B68	[8017]
0E1B6A	[2A0]
0E1B6C	[3524]
0E1B6E	[377]
0E1B70	[3514]
0E1B72	[377]
0E1B74	[3504]
0E1B76	[377]
0E1CF4	[F]
0E1CF6	[6]
0E1CF8	[8017]
0E1CFA	[2AB]
0E1CFC	[3670]
0E1CFE	[17]
0E1D00	[3640]
0E1D02	[17]
0E1D04	[3650]
0E1D06	[17]
0E1D08	[3641]
0E1D0A	[1217]
0E1D0C	[3660]
0E1D0E	[317]
0E1D10	[3671]
0E1D12	[117]
0E1D84	[D]
0E1D86	[4]
0E1D88	[8017]
0E1D8A	[8EF]
0E1D8C	[3673]
0E1D8E	[117]
0E1D90	[3680]
0E1D92	[417]
0E1D94	[3690]
0E1D96	[417]
0E1D98	[3623]
0E1D9A	[17]
0E1D9C	[C]
0E1D9E	[3]
0E1DA0	[8017]
0E1DA2	[2AE]
0E1DA4	[36A0]
0E1DA6	[317]
0E1DA8	[36B0]
0E1DAA	[317]
0E1DAC	[36C0]
0E1DAE	[317]
0E1DB0	[A]
0E1DB2	[3]
0E1DB4	[8017]
0E1DB6	[2AF]
0E1DB8	[36D0]
0E1DBA	[317]
0E1DBC	[36E0]
0E1DBE	[417]
0E1DC0	[36D4]
0E1DC2	[17]
0E1DC4	[E]
0E1DC6	[5]
0E1DC8	[8017]
0E1DCA	[2B0]
0E1DCC	[3664]
0E1DCE	[17]
0E1DD0	[3654]
0E1DD2	[17]
0E1DD4	[3695]
0E1DD6	[1217]
0E1DD8	[36B5]
0E1DDA	[217]
0E1DDC	[36C5]
0E1DDE	[217]
0E1DE0	[D]
0E1DE2	[4]
0E1DE4	[8017]
0E1DE6	[2B1]
0E1DE8	[3644]
0E1DEA	[17]
0E1DEC	[3608]
0E1DEE	[1217]
0E1DF0	[36F0]
0E1DF2	[217]
0E1DF4	[36F3]
0E1DF6	[217]
0E1DF8	[A]
0E1DFA	[4]
0E1DFC	[8017]
0E1DFE	[2B2]
0E1E00	[361B]
0E1E02	[17]
0E1E04	[3628]
0E1E06	[317]
0E1E08	[3638]
0E1E0A	[317]
0E1E0C	[360B]
0E1E0E	[17]
0E2530	[1]
0E2532	[1]
0E2534	[9]
0E2536	[2E1]
0E2538	[5710]
0E253A	[4]
0E253C	[1]
0E253E	[8009]
0E2540	[2DF]
0E2542	[5720]
0E2544	[1109]
0E2546	[5]
0E2548	[2]
0E254A	[8009]
0E254C	[2E0]
0E254E	[5700]
0E2550	[9]
0E2552	[5701]
0E2554	[1109]
0E26AC	[D]
0E26AE	[4]
0E26B0	[8001]
0E26B2	[2E8]
0E26B4	[1A0D]
0E26B6	[1201]
0E26B8	[1A2C]
0E26BA	[101]
0E26BC	[1A2E]
0E26BE	[101]
0E26C0	[1A3D]
0E26C2	[201]
0E27B0	[B]
0E27B2	[5]
0E27B4	[8001]
0E27B6	[2F0]
0E27B8	[1A93]
0E27BA	[1101]
0E27BC	[1A95]
0E27BE	[1]
0E27C0	[1AB3]
0E27C2	[101]
0E27C4	[1AC3]
0E27C6	[101]
0E27C8	[1AA5]
0E27CA	[101]
0E27CC	[B]
0E27CE	[5]
0E27D0	[8001]
0E27D2	[2F1]
0E27D4	[1AB5]
0E27D6	[1101]
0E27D8	[1A96]
0E27DA	[1]
0E27DC	[1A97]
0E27DE	[101]
0E27E0	[1AA7]
0E27E2	[101]
0E27E4	[1AB7]
0E27E6	[101]
0E27E8	[D]
0E27EA	[5]
0E27EC	[8001]
0E27EE	[2F2]
0E27F0	[1A99]
0E27F2	[1101]
0E27F4	[1ABC]
0E27F6	[1]
0E27F8	[1AC7]
0E27FA	[101]
0E27FC	[1AB9]
0E27FE	[201]
0E2800	[1AC9]
0E2802	[201]
0E2804	[F]
0E2806	[4]
0E2808	[8001]
0E280A	[2F3]
0E280C	[1A9E]
0E280E	[101]
0E2810	[1A9B]
0E2812	[1201]
0E2814	[1ABD]
0E2816	[201]
0E2818	[1ACC]
0E281A	[301]
0E281C	[E]
0E281E	[5]
0E2820	[8001]
